# x   seno   coseno   amortiguada
4.57276 -0.990268 -0.139173 -0.299205
4.59022 -0.992546 -0.121869 -0.264497
4.60767 -0.994522 -0.104528 -0.228653
4.62512 -0.996195 -0.0871557 -0.191853
4.64258 -0.997564 -0.0697565 -0.154279
4.66003 -0.99863 -0.052336 -0.116118
4.67748 -0.999391 -0.0348995 -0.0775586
4.69494 -0.999848 -0.0174524 -0.0387893
4.71239 -1 -1.83697e-16 -4.07701e-16
4.72984 -0.999848 0.0174524 0.0386204
4.7473 -0.999391 0.0348995 0.0768847
4.76475 -0.99863 0.052336 0.114608
4.7822 -0.997564 0.0697565 0.15161
4.79966 -0.996195 0.0871557 0.187713
4.81711 -0.994522 0.104528 0.222745
4.83456 -0.992546 0.121869 0.256541
4.85202 -0.990268 0.139173 0.288941
4.86947 -0.987688 0.156434 0.319794
4.88692 -0.984808 0.173648 0.348957
4.90438 -0.981627 0.190809 0.376295
4.92183 -0.978148 0.207912 0.401683
4.93928 -0.97437 0.224951 0.425005
4.95674 -0.970296 0.241922 0.446158
4.97419 -0.965926 0.258819 0.465048
4.99164 -0.961262 0.275637 0.481593
5.00909 -0.956305 0.292372 0.495722
5.02655 -0.951057 0.309017 0.507377
5.044 -0.945519 0.325568 0.516513
5.06145 -0.939693 0.34202 0.523096
5.07891 -0.93358 0.358368 0.527104
5.09636 -0.927184 0.374607 0.528531
5.11381 -0.920505 0.390731 0.527379
5.13127 -0.913545 0.406737 0.523666
5.14872 -0.906308 0.422618 0.517421
5.16617 -0.898794 0.438371 0.508685
5.18363 -0.891007 0.45399 0.497512
5.20108 -0.882948 0.469472 0.483967
5.21853 -0.87462 0.48481 0.468126
5.23599 -0.866025 0.5 0.450076
5.25344 -0.857167 0.515038 0.429914
5.27089 -0.848048 0.529919 0.407748
5.28835 -0.838671 0.544639 0.383695
5.3058 -0.829038 0.559193 0.357879
5.32325 -0.819152 0.573576 0.330434
5.34071 -0.809017 0.587785 0.301501
5.35816 -0.798636 0.601815 0.271227
5.37561 -0.788011 0.615661 0.239764
5.39307 -0.777146 0.62932 0.207272
5.41052 -0.766044 0.642788 0.173913
5.42797 -0.75471 0.656059 0.139853
5.44543 -0.743145 0.669131 0.10526
5.46288 -0.731354 0.681998 0.0703061
5.48033 -0.71934 0.694658 0.0351621
5.49779 -0.707107 0.707107 4.31173e-16
5.51524 -0.694658 0.71934 -0.035009
5.53269 -0.681998 0.731354 -0.0696952
5.55015 -0.669131 0.743145 -0.103891
5.5676 -0.656059 0.75471 -0.137433
5.58505 -0.642788 0.766044 -0.17016
5.60251 -0.62932 0.777146 -0.201916
5.61996 -0.615661 0.788011 -0.232552
5.63741 -0.601815 0.798636 -0.261922
5.65487 -0.587785 0.809017 -0.289891
5.67232 -0.573576 0.819152 -0.316326
5.68977 -0.559193 0.829038 -0.341108
5.70723 -0.544639 0.838671 -0.364122
5.72468 -0.529919 0.848048 -0.385263
5.74213 -0.515038 0.857167 -0.404438
5.75959 -0.5 0.866025 -0.421562
5.77704 -0.48481 0.87462 -0.436559
5.79449 -0.469472 0.882948 -0.449367
5.81195 -0.45399 0.891007 -0.459933
5.8294 -0.438371 0.898794 -0.468214
5.84685 -0.422618 0.906308 -0.474181
5.86431 -0.406737 0.913545 -0.477815
5.88176 -0.390731 0.920505 -0.479108
5.89921 -0.374607 0.927184 -0.478064
5.91667 -0.358368 0.93358 -0.474698
5.93412 -0.34202 0.939693 -0.469037
5.95157 -0.325568 0.945519 -0.461118
5.96903 -0.309017 0.951057 -0.45099
5.98648 -0.292372 0.956305 -0.438711
6.00393 -0.275637 0.961262 -0.424352
6.02139 -0.258819 0.965926 -0.407989
